V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2,Q13,Q3,Q12,Q4,Q10,Q6_1,Q6_2,Q6_3,Q6_3_TEXT,Q6_4,Q5_1,Q5_2,Q5_3,Q5_3_TEXT,Q5_5,Q5_8,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,What is your name?,Article Number,Year of Publication,What type of trial is this?,How many individuals were enrolled in this study?,Is there a baseline characteristics table?,Any other comments about the study that confused you or you would like to comment on?,"If no, is there any suggestion in the text that the authors used statistics to compare baseline d...-Yes, p-value mentioned","If no, is there any suggestion in the text that the authors used statistics to compare baseline d...-No","If no, is there any suggestion in the text that the authors used statistics to compare baseline d...-Yes, see text pasted below","If no, is there any suggestion in the text that the authors used statistics to compare baseline d...-Yes, see text pasted below-TEXT","If no, is there any suggestion in the text that the authors used statistics to compare baseline d...-Yes, confidence intervals or standard error mentioned","Are p-values presented in the baseline characteristics table?-Yes, p-value",Are p-values presented in the baseline characteristics table?-No,Are p-values presented in the baseline characteristics table?-Unclear (please explain),Are p-values presented in the baseline characteristics table?-Unclear (please explain)-TEXT,"Are p-values presented in the baseline characteristics table?-Yes, confidence intervals or standard error","Are p-values presented in the baseline characteristics table?-Yes, significance testing referenced",LocationLatitude,LocationLongitude,LocationAccuracy,
R_sniNKTOuTBjftFn,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 18:02:46,2016-07-11 18:10:15,1,1,1,3,1,1,1,"From the article: /  / ""At baseline, no differences were observed in any descriptive (or dependent) variable between groups (Table 1)."" /  / They didn't say statistical or significant differences, so I didn't count this paper.",,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_aYl1zMIFsn5Mf6N,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 18:17:53,2016-07-11 18:19:47,1,1,4,3,1,2,1,,,,1,"Table 1 shows the children’s baseline characteristics and SkySearch (TEA-Ch) test scores. There were more boys in group B, andBMI and time spent on sports were higher in children in groupB, when compared to group A and C, although differences werenot statistically significant.",,,1,,,,,44.97590637207,-93.216598510742,-1,
R_r6IjTz6f1VKtpKN,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 18:23:50,2016-07-11 18:27:42,1,1,7,3,1,2,1,"""No significant difference was found / between the 2 groups for age, affected shoulder, sex, duration / of symptoms, or workers’ compensation status (P . .05) / (Table 1).""",1,,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_2QrozTHtwkpjh96,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 18:27:43,2016-07-11 18:32:07,1,1,8,3,1,1,2,Nothing to suggest baseline differences were even evaluated.,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_1GEb0bxT6BrAsCm,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 18:36:28,2016-07-11 18:37:03,1,1,9,3,1,2,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_2pVNwbDkBzUS9Ot,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 18:37:04,2016-07-11 18:39:26,1,1,11,3,5,1,1,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_1imQRoDf3WW8LFI,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 18:44:11,2016-07-11 18:46:15,1,1,16,3,1,6,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_3j1GoKpZOfQMhp4,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 18:46:16,2016-07-11 18:48:55,1,1,17,3,1,1,1,"Baseline covariate for which p-value was reported wasn't in baseline covariate table, but the language from the text implied it was an improper comparison of the covariate.",,,1,"At randomization, the majority of / patients had started chemotherapy (81.8%). No significant / difference in chemotherapy timing was observed between / intervention and control groups.",,,1,,,,,44.97590637207,-93.216598510742,-1,
R_3huV1eFfAHSqf8x,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 18:48:56,2016-07-11 18:51:28,1,1,18,3,1,3,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_ysSw6ByF3M3SoWB,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 18:56:56,2016-07-11 18:57:39,1,1,27,3,5,5,1,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_2EoYUWgnvp9Uzw3,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 19:00:58,2016-07-11 19:04:13,1,1,30,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_231NdDXjIocERoU,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 19:05:38,2016-07-11 19:06:05,1,1,31,3,5,1,1,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_21FLM3seOov3r1s,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 19:08:54,2016-07-11 19:11:33,1,1,37,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_3JD9EHzORtQ0NnO,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 19:11:34,2016-07-11 19:19:05,1,1,38,3,1,1,1,,,,,,,,,,,1,,44.97590637207,-93.216598510742,-1,
R_6RqPuKKf5LcrzkB,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 19:19:05,2016-07-11 19:22:06,1,1,39,3,2,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_3CMXJJfKlOtTVw7,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 22:31:45,2016-07-11 22:32:21,1,1,40,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_3iJU0W4pIV3Z25L,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-11 22:32:22,2016-07-11 22:37:44,1,1,43,3,1,2,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_1DYLeykcXPr5zUy,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-12 19:09:23,2016-07-12 19:33:32,1,3,1,3,1,1,1,"""At baseline, no differences were observed in any descriptive variable between groups""  /  / This phrase is not equivalent to ""no statistical differences were observed...""",,1,,,,,1,,,,,44.804595947266,-93.137100219727,-1,
R_124pPwREFR8ZyQF,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-12 19:33:33,2016-07-12 19:36:18,1,3,2,3,1,1,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_1rHaoxzZjSthCm7,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-12 19:36:19,2016-07-12 19:41:46,1,3,3,3,3,3,1,,1,,,,,,1,,,,,44.804595947266,-93.137100219727,-1,
R_3CDkgfrObxze7bx,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-12 19:41:47,2016-07-12 19:52:43,1,3,4,3,1,2,1,,,,1,"""Children’s baseline descriptive characteristics[mean(SD)] were calculated. One way ANOVA was used to assess baseline differences between groups. Children’s score on the Sky Search test were calculated at each time point. We used Generalized Estimat-ing Equations(GEE) to assess the difference in children’s attention between groups over time.""",,,1,,,,,44.804595947266,-93.137100219727,-1,
R_r0Hl5fOUmsS8DHH,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-12 19:53:19,2016-07-12 19:58:17,1,3,6,3,1,3,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_2zOscMTp9NTwd8Q,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-12 19:58:18,2016-07-12 20:04:58,1,3,7,3,1,2,1,,,,1,"No significant difference was found between the 2 groups for age, affected shoulder, sex, duration of symptoms, or workers’ compensation status (P..05)",,,1,,,,,44.804595947266,-93.137100219727,-1,
R_2Cqb3SorbgaAFtn,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-12 20:04:59,2016-07-12 20:19:50,1,3,8,3,1,1,2,,,1,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_1DI3ViKJtPjaapr,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-12 20:19:51,2016-07-12 20:26:57,1,3,9,3,1,2,1,,,1,,,,,1,,,,,44.804595947266,-93.137100219727,-1,
R_8IdssjP59YDlvAV,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 20:25:53,2016-07-12 20:31:19,1,1,44,3,1,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_1jwEwIHXo60iBGl,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 20:31:20,2016-07-12 20:34:27,1,1,45,3,5,1,1,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_3qBUl1t4cmXqNYd,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 20:37:49,2016-07-12 20:40:57,1,1,47,3,1,3,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_STduH1Vhk57eh4R,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 20:55:07,2016-07-12 20:58:34,1,1,54,3,5,1,2,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_3oyJwJJLxXuKyjj,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 20:58:35,2016-07-12 21:01:23,1,1,55,3,5,1,1,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_2fxJ60UZuvzXYxH,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 21:01:25,2016-07-12 21:05:39,1,1,59,3,1,1,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_3GD7lzjZX4V96Sj,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 21:05:40,2016-07-12 21:07:50,1,1,60,3,1,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
